순번,지식재산권 명칭,출원구분,출원국,출원일자,출원번호,등록일자,등록번호
7273,제어기 중복신호 교정 가공 프로그램,국내 저작권,대한민국,,,2020-12-01,C-2020-046460
7274,대용량 점검 데이터를 위한 데이터베이스 저장 프로그램,국내 저작권,대한민국,,,2020-12-01,C-2020-046459
7275,데이터 분석 및 리포트 생성 프로그램,국내 저작권,대한민국,,,2020-12-01,C-2020-046458
7276,오류 주입 공격자 가정 완화를 위한 새로운 오류 주입 공격 시스템 구성 방안,국내 저작권,대한민국,,,2020-11-23,C-2020-044063
7277,모듈로 덧셈의 대수적 표현에 의한 향상된 리아 차분 오류 공격,국내 저작권,대한민국,,,2020-11-23,C-2020-044062
7278,이중 오류 주입을 이용한 효율적인 아리아 차분 오류 분석 시스템,국내 저작권,대한민국,,,2020-11-23,C-2020-044061
7279,비밀번호 기반 키유도함수에 대한 레인보우 테이블 생성 및 비밀번호 복구 소프트웨어,국내 저작권,대한민국,,,2020-11-23,C-2020-044060
7280,에스박스의 암호학적 성질 분석 프로그램,국내 저작권,대한민국,,,2020-11-23,C-2020-044059
7281,인공지능 기반 수명 예측,국내 저작권,대한민국,,,2020-11-23,C-2020-044040
7282,시스템 신뢰도 예측 프로그램,국내 저작권,대한민국,,,2020-11-23,C-2020-044039
7283,하드웨어 오류가 소프트웨어에 미치는 영향 분석 모델,국내 저작권,대한민국,,,2020-11-23,C-2020-044038
7284,아리아 대상 부채널 분석 안전성 검증 티브이엘에이 시스템,국내 저작권,대한민국,,,2020-11-23,C-2020-044058
7285,심층 신경망을 이용한 무인기 임무 계획 알고리즘,국내 저작권,대한민국,,,2020-11-09,C-2020-040383
7286,수상함 항적분포 모델 생성 프로그램,국내 저작권,대한민국,,,2020-11-09,C-2020-040382
7287,지능형조절 소프트웨어,국내 저작권,대한민국,,,2020-11-09,C-2020-040381
7288,정보처리 소프트웨어,국내 저작권,대한민국,,,2020-11-09,C-2020-040380
7289,전장환경모의 소프트웨어,국내 저작권,대한민국,,,2020-11-09,C-2020-040379
7290,운용환경 모의 소프트웨어,국내 저작권,대한민국,,,2020-11-09,C-2020-040378
7291,모의지휘통제 소프트웨어,국내 저작권,대한민국,,,2020-11-09,C-2020-040377
7292,가상운용통제 소프트웨어,국내 저작권,대한민국,,,2020-11-09,C-2020-040376
7293,탑재이미지 및 점검자료 다운로드 프로그램,국내 저작권,대한민국,,,2020-11-09,C-2020-040375
7294,하이브리드 구성품 검증용 주행제어 환경모사 프로그램,국내 저작권,대한민국,,,2020-11-09,C-2020-040374
7295,에스디엘씨 통신을 이용한 프로그램 업데이트가 가능한 구동장치 탑재 프로그램,국내 저작권,대한민국,,,2020-11-09,C-2020-040373
7296,밀리미터파 수신기 이득 계산 프로그램,국내 저작권,대한민국,,,2020-11-09,C-2020-040372
7297,롤링써클 필터를 활용한 라만 스펙트럼 기저선 제거 소프트웨어,국내 저작권,대한민국,,,2020-11-09,C-2020-040371
7298,핀틀 추진기관 통합 시뮬레이션 프로그램,국내 저작권,대한민국,,,2020-11-09,C-2020-040370
7299,부이형소나 음향정보처리장치 운용프로그램,국내 저작권,대한민국,,,2020-11-09,C-2020-040369
7300,부이형소나 음향신호처리장치 운용프로그램,국내 저작권,대한민국,,,2020-11-09,C-2020-040368
7301,플로우 기반 뉴럴 디코더,국내 저작권,대한민국,,,2020-11-09,C-2020-040367
7302,부이형소나 부이조립체 제어프로그램,국내 저작권,대한민국,,,2020-11-09,C-2020-040366
7303,기뢰 시뮬레이션 모델 라이브러리,국내 저작권,대한민국,,,2020-11-09,C-2020-040365
7304,수중유도무기 자동조종제어 설계분석 프로그램(버젼 5.0),국내 저작권,대한민국,,,2020-11-09,C-2020-040364
7305,수중유도무기 발사시험 주행제어분석 프로그램(버젼 5.0),국내 저작권,대한민국,,,2020-11-09,C-2020-040363
7306,중고도무인기 비행모의 간이지상통제장치 서버 소프트웨어,국내 저작권,대한민국,,,2020-11-09,C-2020-040362
7307,소형무인기 모델 기반 군집시뮬레이터 다수무인기 동시모의 프로그램,국내 저작권,대한민국,,,2020-11-09,C-2020-040361
7308,중고도무인기 비행모의 간이지상통제장치 클라이언트 소프트웨어,국내 저작권,대한민국,,,2020-11-09,C-2020-040360
7309,소형무인기 모델 기반 군집시뮬레이터 지상통제 모의 프로그램,국내 저작권,대한민국,,,2020-11-09,C-2020-040359
7310,소형 군집무인기 시스템 지상통제 프로그램,국내 저작권,대한민국,,,2020-11-09,C-2020-040358
7311,비선형 크리스탈을 이용한 사냑 얽힘 광원 시뮬레이션,국내 저작권,대한민국,,,2020-11-09,C-2020-040357
7312,블록암호 특징 추출 및 딥러닝 학습 도구,국내 저작권,대한민국,,,2020-11-09,C-2020-040356
7313,씨알에프씨엔엔 기반 뉴럴 인코더,국내 저작권,대한민국,,,2020-11-09,C-2020-040355
7314,광자기반 레이다 시스템의 대역폭에 따른 영상모드 분석 프로그램,국내 저작권,대한민국,,,2020-11-09,C-2020-040354
7315,소형무인기 모델 기반 분산형 군집제어 알고리즘 모의분석 프로그램,국내 저작권,대한민국,,,2020-11-09,C-2020-040353
7316,크리깅을 이용한 공력데이터 모델링 프로그램,국내 저작권,대한민국,,,2020-11-09,C-2020-040352
7317,이종 소나 탐지특성 통합 비교 분석프로그램,국내 저작권,대한민국,,,2020-10-14,C-2020-035384
7318,발사대 솔레노이드 전원 스케줄 및 제어 프로그램,국내 저작권,대한민국,,,2020-10-14,C-2020-035383
7319,수평면 조종계수 추정을 위한 제어입력 최적화 프로그램,국내 저작권,대한민국,,,2020-10-14,C-2020-035382
7320,비주기 도약 신호의 홉 정보 분석 프로그램,국내 저작권,대한민국,,,2020-10-14,C-2020-035381
7321,다중 도약 신호의 주파수 정보 분석 프로그램,국내 저작권,대한민국,,,2020-10-14,C-2020-035380
7322,간섭신호 상황에서 아날로그 음성통신 상관도분석 프로그램,국내 저작권,대한민국,,,2020-10-14,C-2020-035379
7323,재밍 출력에 따른 탐지 범위 분석 프로그램,국내 저작권,대한민국,,,2020-10-14,C-2020-035378
7324,플랫폼 탑재 장착물의 실시간 1553 버스 모니터링 프로그램,국내 저작권,대한민국,,,2020-10-14,C-2020-035377
7325,유동변동압력 상관 관계 분석 프로그램,국내 저작권,대한민국,,,2020-10-14,C-2020-035376
7326,적응칼만필터를 이용한 지피에스 기만회피 시뮬레이션,국내 저작권,대한민국,,,2020-10-14,C-2020-035375
7327,검출기 이동방법과 디컨볼루션 방법을 이용한 해상도 증가 소프트웨어,국내 저작권,대한민국,,,2020-10-14,C-2020-035374
7328,지피에스 기만모의 프로그램,국내 저작권,대한민국,,,2020-10-14,C-2020-035373
7329,원격공중통제를 위한 무인기 지상통제용 헤드업디스플레이 소프트웨어,국내 저작권,대한민국,,,2020-10-14,C-2020-035372
7330,무인기의 원격공중통제를 위한 유인기용 통제소프트웨어,국내 저작권,대한민국,,,2020-10-14,C-2020-035371
7331,주행제어 소프트웨어 검증용 실시간 시뮬레이션 프로그램,국내 저작권,대한민국,,,2020-10-14,C-2020-035370
7332,표준 연동방식 기반 게이트웨이 소프트웨어,국내 저작권,대한민국,,,2020-10-14,C-2020-035369
7333,원격공중통제 무인기 운용을 위한 간이지상통제 소프트웨어,국내 저작권,대한민국,,,2020-10-14,C-2020-035368
7334,합성개구레이다의 항적탐지 시뮬레이션용 파일관리 및 3차원 가시화,국내 저작권,대한민국,,,2020-10-14,C-2020-035367
7335,합성개구레이다의 항적탐지 시뮬레이션용 해수면 영상모의,국내 저작권,대한민국,,,2020-10-14,C-2020-035366
7336,합성개구레이다의 항적탐지 시뮬레이션용 항적생성모의,국내 저작권,대한민국,,,2020-10-14,C-2020-035365
7337,무인잠수정 시스템점검장비의 항법센서 모의 프로그램-버전 2.0,국내 저작권,대한민국,,,2020-10-14,C-2020-035364
7338,다출처 영상 검색 프로그램,국내 저작권,대한민국,,,2020-10-14,C-2020-035363
7339,위치탐지 시스템 중앙국 프로그램,국내 저작권,대한민국,,,2020-10-14,C-2020-035362
7340,위치탐지 시스템 기지국 프로그램,국내 저작권,대한민국,,,2020-10-14,C-2020-035361
7341,다중 동영상 자동 이상 탐지 프로그램,국내 저작권,대한민국,,,2020-10-14,C-2020-035360
7342,다중 모의 동영상 생성 프로그램,국내 저작권,대한민국,,,2020-10-14,C-2020-035359
7343,"윈도우 10 인터넷, 이벤트, 프로세스, 네트워크 로그 추출 소프트웨어",국내 저작권,대한민국,,,2020-10-14,C-2020-035358
7344,지피에스 기만탐지 알고리즘,국내 저작권,대한민국,,,2020-10-14,C-2020-035357
7345,영상레이다 타이밍 신호 설계 지원 프로그램,국내 저작권,대한민국,,,2020-10-14,C-2020-035356
7346,차량동역학 및 제어기 연동 시뮬레이션 프로그램,국내 저작권,대한민국,,,2020-10-14,C-2020-035355
7347,사이버 훈련 시스템을 위한 정상위협 트래픽 유통계획 저작 도구 프로토타입,국내 저작권,대한민국,,,2020-10-13,C-2020-034982
7348,정상위협 트래픽 생성 결과 분석을 위한 위협트리 가시화 소프트웨어,국내 저작권,대한민국,,,2020-09-16,C-2020-031665
7349,정상위협 트래픽 생성 결과 분석을 위한 이상상황 식별기,국내 저작권,대한민국,,,2020-09-16,C-2020-031664
7350,위협 트래픽 생성을 위한 트래픽 에이전트,국내 저작권,대한민국,,,2020-09-16,C-2020-031663
7351,정상_위협 트래픽 생성의 응용 프로그램 인터페이스 활용을 위한 자바스크립트 클라이언트 라이브러리,국내 저작권,대한민국,,,2020-09-16,C-2020-031662
7352,정상 데이터셋 기반의 훈련데이터셋 재생을 위한 트래픽 에이전트,국내 저작권,대한민국,,,2020-09-16,C-2020-031661
7353,정상위협 트래픽 생성을 위한 혼합트래픽 시뮬레이터,국내 저작권,대한민국,,,2020-09-16,C-2020-031660
7354,정상 위협 트래픽 생성을 위한 훈련데이터셋 생성기,국내 저작권,대한민국,,,2020-09-16,C-2020-031659
7355,정상_위협 트래픽 생성의 응용 프로그램 인터페이스 활용을 위한 파이썬 클라이언트 라이브러리,국내 저작권,대한민국,,,2020-09-16,C-2020-031658
7356,트래픽 데이터셋 구축을 위한 응용 프로토콜 분석 확장 소프트웨어,국내 저작권,대한민국,,,2020-09-15,C-2020-031510
7357,참여연구원별 보상금 지급액표 및 입금내역서 프로그램,국내 저작권,대한민국,,,2020-09-15,C-2020-031509
7358,참여연구원별 기여도 점수 산정 프로그램,국내 저작권,대한민국,,,2020-09-15,C-2020-031508
7359,직무발명 비율 산정 프로그램,국내 저작권,대한민국,,,2020-09-15,C-2020-031507
7360,트래픽 데이터셋 구축을 위한 데이터셋 구축도구 그래픽 사용자 인터페이스,국내 저작권,대한민국,,,2020-09-15,C-2020-031506
7361,트래픽 데이터셋 활용을 위한 데이터셋 응용 프로그래밍 인터페이스 서버,국내 저작권,대한민국,,,2020-09-15,C-2020-031505
7362,트래픽 데이터셋 구축을 위한 메타데이터 정상 및 위협 데이터셋 저장,국내 저작권,대한민국,,,2020-09-15,C-2020-031504
7363,트래픽 데이터셋 구축을 위한 셀프시밀러 트래픽 생성 도구,국내 저작권,대한민국,,,2020-09-15,C-2020-031503
7364,트래픽 데이터셋 구축을 위한 시뮬레이션 기반 데이터셋 구축 도구,국내 저작권,대한민국,,,2020-09-15,C-2020-031502
7365,트래픽 데이터셋 구축을 위한 사용자 지정 표준 응용 프로토콜 모의 모델,국내 저작권,대한민국,,,2020-09-15,C-2020-031501
7366,트래픽 데이터셋 구축을 위한 커스텀 응용 트래픽 모의 모델,국내 저작권,대한민국,,,2020-09-15,C-2020-031500
7367,자산반출입 관련 경보시스템 구축 프로그램,국내 저작권,대한민국,,,2020-09-15,C-2020-031499
7368,트래픽 데이터셋 구축을 위한 표준 응용 프로토콜 모의 모델,국내 저작권,대한민국,,,2020-09-15,C-2020-031498
7369,트래픽 데이터셋 구축을 위한 메타데이터 분석 및 추출 소프트웨어,국내 저작권,대한민국,,,2020-09-15,C-2020-031497
7370,트래픽 데이터셋 구축을 위한 네트워크 트래픽 분석 소프트웨어,국내 저작권,대한민국,,,2020-09-15,C-2020-031496
7371,트래픽 데이터셋 구축을 위한 네트워크 트래픽 수집 소프트웨어,국내 저작권,대한민국,,,2020-09-15,C-2020-031495
7372,트래픽 데이터셋 구축을 위한 정상 트래픽 설정 소프트웨어,국내 저작권,대한민국,,,2020-09-15,C-2020-031494
7373,자유항주시험 데이터 기반 수중운동체 시스템 식별 프로그램,국내 저작권,대한민국,,,2020-09-15,C-2020-031493
7374,개선된 확장-오메가 케이를 이용한 위성 스퀸트 기하에서의 영상레이다 영상생성 시뮬레이터,국내 저작권,대한민국,,,2020-09-15,C-2020-031492
7375,압전 링 트랜스듀서의 전기-기계 변환구조에 따른 송신특성 해석 프로그램,국내 저작권,대한민국,,,2020-09-15,C-2020-031491
7376,위성기하에서 스퀸트 및 표적 고도를 고려한 고해상도 영상레이다 영상생성 및 기하해석 시뮬레이터,국내 저작권,대한민국,,,2020-09-15,C-2020-031490
7377,펄스반복주파수 변화를 고려한 고해상도 영상레이다 영상처리 시뮬레이터,국내 저작권,대한민국,,,2020-09-15,C-2020-031489
7378,수중함 좌초사고 거동해석 프로그램,국내 저작권,대한민국,,,2020-09-15,C-2020-031488
7379,학습 기반 압축센싱 측면주사소나 잡음제거 프로그램,국내 저작권,대한민국,,,2020-09-15,C-2020-031487
7380,알에프를 이용한 정보전달 코드 프로그램,국내 저작권,대한민국,,,2020-09-15,C-2020-031486
7381,장비 등록 연동 프로그램,국내 저작권,대한민국,,,2020-09-15,C-2020-031485
7382,시험체의 주요 고유모드를 고려한 진동시험 응답 측정위치 선정 프로그램,국내 저작권,대한민국,,,2020-09-15,C-2020-031484
7383,수중유도무기 자동조종제어 설계분석 프로그램(버젼 4.0),국내 저작권,대한민국,,,2020-09-15,C-2020-031483
7384,수중유도무기 발사시험 주행제어분석 프로그램(버젼 4.0),국내 저작권,대한민국,,,2020-09-15,C-2020-031482
7385,왕복엔진 항공기 비행시험 부스트 압력 분석 프로그램,국내 저작권,대한민국,,,2020-09-15,C-2020-031481
7386,심사지표 생성 시스템,국내 저작권,대한민국,,,2020-09-15,C-2020-031480
7387,10각 타일 원통 배열 안테나 초기 빔 방사특성 분석 프로그램,국내 저작권,대한민국,,,2020-09-15,C-2020-031479
7388,다수의 유한요소해석 데이터 동시연산 프로그램,국내 저작권,대한민국,,,2020-09-15,C-2020-031478
7389,유한요소해석결과 기반 대구경 반사경 광학해석,국내 저작권,대한민국,,,2020-09-15,C-2020-031477
7390,레이다 신호처리 데이터 결과 분석 프로그램,국내 저작권,대한민국,,,2020-09-15,C-2020-031476
7391,비행시험 데이터 분석 관리 프로그램,국내 저작권,대한민국,,,2020-09-15,C-2020-031475
7392,계측파라미터 데이터 저장률 수정 및 에러 검출 소프트웨어,국내 저작권,대한민국,,,2020-09-15,C-2020-031474
7393,압축 센싱 알고리즘을 이용한 능동소나 신호합성 및 거리 도플러 추정성능 분석 프로그램,국내 저작권,대한민국,,,2020-09-15,C-2020-031473
7394,케이나인 예상 포구속도 산출 프로그램,국내 저작권,대한민국,,,2020-09-15,C-2020-031472
7395,폭발성형침투체 침투 고속처리모델,국내 저작권,대한민국,,,2020-09-15,C-2020-031471
7396,군위성통신 라우팅 성능 분석 시뮬레이션 프로그램,국내 저작권,대한민국,,,2020-09-15,C-2020-031470
7397,군위성통신 망제어 성능 분석 시뮬레이션 프로그램,국내 저작권,대한민국,,,2020-09-15,C-2020-031469
7398,성형작약제트 침투 고속처리모델,국내 저작권,대한민국,,,2020-09-15,C-2020-031468
7399,드론 정밀제어 프로그램,국내 저작권,대한민국,,,2020-09-15,C-2020-031467
7400,엔진 특성 대비 비행시험 엔진 출력비 분석 프로그램,국내 저작권,대한민국,,,2020-09-15,C-2020-031466
7401,대전차지뢰살포탄 종말 자탄 분산 궤적 시뮬레이션,국내 저작권,대한민국,,,2020-09-15,C-2020-031465
7402,스핀-격자 종축 이완시간 측정 및 분석 프로그램,국내 저작권,대한민국,,,2020-09-15,C-2020-031464
7403,"스핀-스핀 횡축 이완시간, 라비진동 측정 및 분석 프로그램",국내 저작권,대한민국,,,2020-09-15,C-2020-031463
7404,굽힘과 비틀림 거동이 고려된 선배열 예인 음탐기 예인 거동 해석 소프트웨어,국내 저작권,대한민국,,,2020-09-15,C-2020-031462
7405,통합 예인 소나 동시 예인 거동 해석 소프트웨어 (버전 2.0),국내 저작권,대한민국,,,2020-09-15,C-2020-031461
7406,계측데이터 기반 비행체 정보 도시 프로그램,국내 저작권,대한민국,,,2020-09-15,C-2020-031460
7407,수중체 프로펠러에 의한 난류항적의 자유수면 도달거리 예측 프로그램,국내 저작권,대한민국,,,2020-09-11,C-2020-031103
7408,지피에스 기만탐지 모니터링 및 지상제어 프로그램,국내 저작권,대한민국,,,2020-09-11,C-2020-031102
7409,비행대기선점검대 제어소프트웨어,국내 저작권,대한민국,,,2020-09-11,C-2020-031101
7410,학습 기반 압축센싱 측면주사소나 영상개선 프로그램,국내 저작권,대한민국,,,2020-09-11,C-2020-031100
7411,모수기법을 활용한 기술용역 비용추정 소프트웨어,국내 저작권,대한민국,,,2020-09-11,C-2020-031099
7412,유한요소해석 해의 성능 측정을 위한 보 유한요소 모델 생성 프로그램,국내 저작권,대한민국,,,2020-09-11,C-2020-031098
7413,다면체 요소를 이용한 3차원 절점 기반 완화유한요소법의 요소 강성행렬 계산 프로그램,국내 저작권,대한민국,,,2020-09-11,C-2020-031097
7414,다면체 요소를 이용한 3차원 모서리 기반 완화유한요소법의 요소 강성행렬 계산 프로그램,국내 저작권,대한민국,,,2020-09-11,C-2020-031096
7415,다면체 요소를 이용한 3차원 면 기반 완화유한요소법의 요소 강성행렬 계산 프로그램,국내 저작권,대한민국,,,2020-09-11,C-2020-031095
7416,소형 표적의 탐지 추적 알고리즘 검증 시뮬레이터,국내 저작권,대한민국,,,2020-09-11,C-2020-031094
7417,아이트리플 팔공이닷일일 무선랜 환경에서 어소시에이션 탈취없는 임의 데이터 삽입,국내 저작권,대한민국,,,2020-09-11,C-2020-031093
7418,고출력레이다 데이터 분석용 프로그램,국내 저작권,대한민국,,,2020-09-11,C-2020-031092
7419,파장제어 빔 결합장치 제어 프로그램,국내 저작권,대한민국,,,2020-09-11,C-2020-031091
7420,항공전자전 체계통합 네트워크부하 분석용 프로그램,국내 저작권,대한민국,,,2020-09-11,C-2020-031090
7421,항공전자전 전자신호정보수집장비 업무분석용 엠앤에스 프로그램,국내 저작권,대한민국,,,2020-09-11,C-2020-031089
7422,모델기반 전자전체계 설계분석용 엠앤에스 자원관리 프로그램,국내 저작권,대한민국,,,2020-09-11,C-2020-031088
7423,초대형 기후환경챔버 온도 데이터 시각화 프로그램,국내 저작권,대한민국,,,2020-09-11,C-2020-031087
7424,에러 코베리언스 웨이트 기법 알고리즘을 사용한 표적 위치 추정 프로그램,국내 저작권,대한민국,,,2020-09-11,C-2020-031086
7425,퀘스트 기반 요격탄 모의 프로그램,국내 저작권,대한민국,,,2020-09-11,C-2020-031085
7426,퀘스트 기반 작전통제 모의 프로그램,국내 저작권,대한민국,,,2020-09-11,C-2020-031084
7427,디에스에스에스 다중 정밀 복조 라이브러리,국내 저작권,대한민국,,,2020-09-11,C-2020-031083
7428,디에스에스에스 칩 시퀀스 추정 라이브러리,국내 저작권,대한민국,,,2020-09-11,C-2020-031082
7429,디에스에스에스 칩률 추정 라이브러리,국내 저작권,대한민국,,,2020-09-11,C-2020-031081
7430,디에스에스에스 비표준 신호 분석 라이브러리,국내 저작권,대한민국,,,2020-09-11,C-2020-031080
7431,디에스에스에스 신호수집 및 칩 분석 프로그램,국내 저작권,대한민국,,,2020-09-11,C-2020-031079
7432,디에스에스에스 신호수집을 위한 배열 안테나 보정 프로그램,국내 저작권,대한민국,,,2020-09-11,C-2020-031078
7433,퀘스트 기반 교전통제 모의 프로그램,국내 저작권,대한민국,,,2020-09-11,C-2020-031077
7434,퀘스트 기반 발사대 모의 프로그램,국내 저작권,대한민국,,,2020-09-11,C-2020-031076
7435,퀘스트 기반 레이다 모의 프로그램,국내 저작권,대한민국,,,2020-09-11,C-2020-031075
7436,퀘스트 기반 운용통제 및 위협 모의 프로그램,국내 저작권,대한민국,,,2020-09-11,C-2020-031074
7437,기호 건물을 고려한 위성 영상에서의 인코더-디코더형 딥네트워크 기반 객체 검출 프로그램,국내 저작권,대한민국,,,2020-09-11,C-2020-031073
7438,미세 정합오차 및 색상차이에 강인한 딥러닝 기반의 고해상도 위성영상 변화탐지,국내 저작권,대한민국,,,2020-09-11,C-2020-031072
7439,세밀한 항공영상 정합을 위한 딥러닝 기반의 두 단계 네트워크 정합 프로그램,국내 저작권,대한민국,,,2020-09-11,C-2020-031071
7440,회전변화에 강인한 항공 및 위성 영상 검색을 위한 후보지역 추출 유사도 학습 프로그램,국내 저작권,대한민국,,,2020-09-11,C-2020-031070
7441,잡음원의 최소 엔트로피 통계적 추정 프로그램,국내 저작권,대한민국,,,2020-09-04,C-2020-030196
7442,유선 양자 암호키 분배 프로토콜을 위한 레이저 생성 및 검출 프로그램,국내 저작권,대한민국,,,2020-09-04,C-2020-030195
7443,케이나인 포신 누적 유효완전장약 산출 프로그램,국내 저작권,대한민국,,,2020-08-06,C-2020-026281
7444,영상레이다 고장 탐지 기능 검증툴,국내 저작권,대한민국,,,2020-08-06,C-2020-026280
7445,밀집표적 합성개구면 레이더 영상에서 단일표적 칩 추출 프로그램,국내 저작권,대한민국,,,2020-08-06,C-2020-026279
7446,"잠재변인의 매개, 조절 및 조절된 매개효과 분석 프로그램",국내 저작권,대한민국,,,2020-08-06,C-2020-026278
7447,중력파 및 켈빈파가 존재하는 환경에서 간섭계 합성 개구 레이다 영상 생성 및 해수면 시선 속도 추정 시뮬레이터,국내 저작권,대한민국,,,2020-08-06,C-2020-026277
7448,중력파 및 켈빈파가 존재하는 환경에서 바이스태틱 합성 개구 레이다 영상 생성 및 스펙트럼 분석 시뮬레이터,국내 저작권,대한민국,,,2020-08-06,C-2020-026276
7449,다양한 해양 환경에 대한 모노스태틱 합성 개구 레이다 영상 생성 및 스펙트럼 분석 시뮬레이터,국내 저작권,대한민국,,,2020-08-06,C-2020-026275
7450,고장난 센서 배열 환경에서의 표적 방위각 추정 시뮬레이터,국내 저작권,대한민국,,,2020-08-06,C-2020-026274
7451,해저 매설 수중음향센서용 검사기 운용 프로그램,국내 저작권,대한민국,,,2020-08-06,C-2020-026273
7452,선배열예인센서 예인거동을 고려한 유동소음 분석 프로그램,국내 저작권,대한민국,,,2020-08-06,C-2020-026272
7453,스탑-앤드-고 가정에 의한 고해상도 합성개구레이다 영상품질 영향성 분석 프로그램,국내 저작권,대한민국,,,2020-08-06,C-2020-026271
7454,무인기 위성데이터링크 성능 분석 프로그램,국내 저작권,대한민국,,,2020-08-06,C-2020-026270
7455,무인항공기 데이터링크 라우팅 설정 프로그램,국내 저작권,대한민국,,,2020-08-06,C-2020-026269
7456,무인항공기 데이터링크제어기 파일 업로드 프로그램,국내 저작권,대한민국,,,2020-08-06,C-2020-026268
7457,무인항공기 데이터링크시스템 이중화처리반 설치 및 설정 프로그램,국내 저작권,대한민국,,,2020-08-06,C-2020-026267
7458,데이터링크 전송률 및 비트오율 측정 프로그램,국내 저작권,대한민국,,,2020-08-06,C-2020-026266
7459,무기체계 소프트웨어 제품라인 통합개발환경 실크로드 요구사항 관리 어댑터,국내 저작권,대한민국,,,2020-08-06,C-2020-026265
7460,무기체계 소프트웨어 제품라인 통합개발환경 엑셀 어댑터,국내 저작권,대한민국,,,2020-08-06,C-2020-026264
7461,"무인항공기 데이터링크시스템, 장착물데이터링크시스템 부대급점검장비 운용 프로그램",국내 저작권,대한민국,,,2020-08-06,C-2020-026263
7462,무기체계 소프트웨어 제품라인 통합개발환경 운용도구,국내 저작권,대한민국,,,2020-08-06,C-2020-026262
7463,무인항공기 데이터링크시스템 부대급점검장비 운용 프로그램,국내 저작권,대한민국,,,2020-08-06,C-2020-026261
7464,반능동 레이저 탐색기 종합성능시험 통합 프로그램,국내 저작권,대한민국,,,2020-08-06,C-2020-026260
7465,윈격 탑재 항공기간 통합통신장치 검증 소프트웨어,국내 저작권,대한민국,,,2020-08-06,C-2020-026259
7466,가시선데이터링크 지상안테나장치 검증 소프트웨어,국내 저작권,대한민국,,,2020-08-06,C-2020-026258
7467,탑재 항공기간 통합통신장치 검증 소프트웨어,국내 저작권,대한민국,,,2020-08-06,C-2020-026257
7468,장착물 데이터링크 검증용 장착물 모의 소프트웨어,국내 저작권,대한민국,,,2020-08-06,C-2020-026256
7469,장착물 데이터링크 검증용 지상체 및 데이터링크 제어기 모의 소프트웨어,국내 저작권,대한민국,,,2020-08-06,C-2020-026255
7470,항공기간 데이터링크 통신용 안테나장치 검증 소프트웨어,국내 저작권,대한민국,,,2020-08-06,C-2020-026254
7471,민군기술협력사업 계속과제 데이터 비교 분석 프로그램,국내 저작권,대한민국,,,2020-08-06,C-2020-026253
7472,엔진입구 공기유량비에 따른 연료유량 영향성 프로그램,국내 저작권,대한민국,,,2020-08-06,C-2020-026252
7473,실측 미세도플러신호를 이용한 소형무인기 탐지 및 분류 소프트웨어,국내 저작권,대한민국,,,2020-08-06,C-2020-026251
7474,충격 응답 스펙트럼 분석 프로그램,국내 저작권,대한민국,,,2020-08-06,C-2020-026250
7475,미션 기반 전파감시 및 방향탐지 결과 분석 프로그램,국내 저작권,대한민국,,,2020-08-06,C-2020-026249
7476,전파환경 및 품질 측정 프로그램,국내 저작권,대한민국,,,2020-08-06,C-2020-026248
7477,사이버 전투행위 모니터링 및 가시화 기법,국내 저작권,대한민국,,,2020-08-06,C-2020-026247
7478,무기효과분석 결과 가시화 및 무기추천 프로그램,국내 저작권,대한민국,,,2020-08-06,C-2020-026246
7479,이엔에프 신호 보간 소프트웨어,국내 저작권,대한민국,,,2020-08-06,C-2020-026245
7480,내구진동규격 테일러링을 위한 피에스디 생성 프로그램,국내 저작권,대한민국,,,2020-08-06,C-2020-026244
7481,수치해석 모델을 이용한 분포형 전원망 구조의 전원공급특성 분석 프로그램,국내 저작권,대한민국,,,2020-08-06,C-2020-026243
7482,고온구조시험용 가열장치 램프배열에 따른 열유속 예측 프로그램,국내 저작권,대한민국,,,2020-08-06,C-2020-026242
7483,티이피 실행 에이전트 소프트웨어,국내 저작권,대한민국,,,2020-08-06,C-2020-026241
7484,티이피 관리 서버 소프트웨어,국내 저작권,대한민국,,,2020-08-06,C-2020-026240
7485,반능동 레이저 탐색기 점검 프로그램,국내 저작권,대한민국,,,2020-08-06,C-2020-026239
7486,무인수상정 자율추적기능 점검을 위한 가상무인잠수정 경로생성프로그램,국내 저작권,대한민국,,,2020-08-06,C-2020-026238
7487,데이터링크 연동결함 확인을 위한 이중화 인터페이스 상태정보 실시간 관리 프로그램,국내 저작권,대한민국,,,2020-08-06,C-2020-026237
7488,무인기 데이터링크 환경에 따른 수신 영상 품질 분석 소프트웨어,국내 저작권,대한민국,,,2020-08-06,C-2020-026236
7489,감시정찰 무인기 지상통제체계 내외부망 연동관리 프로그램,국내 저작권,대한민국,,,2020-08-06,C-2020-026235
7490,감시정찰 무인기 임무브리핑보고서 생성 프로그램,국내 저작권,대한민국,,,2020-08-06,C-2020-026234
7491,중고도무인기 조종사 관숙용 모의훈련 프로그램,국내 저작권,대한민국,,,2020-08-06,C-2020-026233
7492,비행객체 발사원점탐지 소프트웨어,국내 저작권,대한민국,,,2020-07-08,C-2020-022482
7493,빔결합용 협대역 광섬유 레이저 마이크로 컨트롤기반 편광제어 임베디드 프로그램,국내 저작권,대한민국,,,2020-07-08,C-2020-022481
7494,빔결합용 협대역 광섬유 레이저 편광제어 모델링 프로그램,국내 저작권,대한민국,,,2020-07-08,C-2020-022480
