규격서명,규격종류,양산완료일자,제정기관,재고번호(NSN),부품관리번호,품명,적용장비명,구규격번호,ICS코드,공개여부,형상관리책임기관,조달예비판단담당,국산화개발상태,대체규격번호,하위품목수,제정일자,최종개정일자,폐지일자,도면번호,최종적합성검토일자,상태,최종개정차수
"커플링 하프, 축용",KDC (국방/약식),,육군,3010005748434,3010M51415882,"커플링하프,축용",1PJ,,95.020,전체공개,육군-형상통제담당,기반전력사업표준자원관리팀-전차담당,,,2,2002-12-17,2009-09-24,2015-11-23,7966861,2009-07-17,폐지,1
품질경영체제 요구서,KDS (국방/정식),,국방기술품질원,,0050M52068640,품질경영시스템 요구서_임시,품질경영체제요구서,,95.020,전체공개,,표준기획과-국방표준서담당,,STD-0005,1,2002-07-19,2020-02-27,2023-06-02,,,전환,5
O-링,KDC (국방/약식),,해군,,9999M53716499,O-링 도면관리형,함정 공통,,95.020,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-전투함담당,,,3,1998-11-30,,2019-11-20,,2003-12-31,폐지,0
 개스킷,KDC (국방/약식),,해군,,9999M53711399,개스킷, 잠수함 배기계통,,95.020,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-잠수함담당,, ,4,2010-03-08,,,,2023-06-29,비활성,0
"덥개, 수입솔용",KDS (국방/정식),,방위사업청,1030005576919,1030M51685853,덮개 조립체,105밀리 곡사포,,59.080.99,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,8,1985-03-21,2021-01-25,,A70002101,2011-06-09,활성,3
5.56mm K1 기관단총 탄알보호주머니,KDS (국방/정식),,국방과학연구소,1005371609190,1005M51068034,탄약보호주머니,탄약보호주머니,,"01, 95.020",전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),, ,1,1981-10-20,2002-04-19,,20005056,2010-10-06,활성,2
레이더세트 (SPS-540K/SPS-560K),KDS (국방/정식),,방위사업청,,9999M53843365,레이더세트 (SPS-540K/SPS-560K),레이더세트 (SPS-540K/SPS-560K),,95.020,전체공개,방위사업청-전투함담당,기반전력사업표준자원관리팀-장갑차담당,,,3198,2008-12-26,2023-02-23,,,2024-03-04,활성,6
M16탄알 보호주머니,KDS (국방/정식),,방위사업청,1005000526942,1005M51499435,"백,보호용,탄약용",소총(M16),,59.080.99,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),, ,1,1979-08-07,1985-12-17,,8445068,2011-03-28,활성,2
"제어장치 조립체, 푸시풀식",KDC (국방/약식),,육군,2590011706740,2590M51719934,"제어장치 조립체,푸시풀식","다목적 전술차량, K532",,43.160,전체공개,육군-형상통제담당,기반전력사업표준자원관리팀-특수차량담당,,,1,2006-12-27,2023-04-18,,AD3536338-004,2023-03-21,활성,1
펀 치,KDC (국방/약식),,육군,5120001779416,5120M51719427,펀치,"헬기,502MD정비공구",,95.020,전체공개,육군-형상통제담당,기반전력사업표준자원관리팀-헬기담당,,,1,2006-12-19,2022-10-13,,AD1779416,2011-01-20,활성,1
권낭공구및부속품용,KDS (국방/정식),,방위사업청,5140007124170,5140M51068378,"권낭,공구 및 부속품용",105밀리 곡사포,,95.020,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,1,1979-06-27,2022-10-13,,20005753,2011-05-12,활성,3
엘보우,KDS (국방/정식),,해군,,4730M52073913,엘보우_임시,"전투차량, 상륙돌격용 LVT (P7 )",,95.020,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-장갑차담당,, ,2,1979-12-06,,,,2023-06-29,비활성,0
하네스 조립체,KDS (국방/정식),,육군,2590003195992,2590M51546201,배선장치,"전차, 전투용, 무한궤도식(M48A2C)",,29.060.01,전체공개,육군-형상통제담당,기반전력사업표준자원관리팀-전차담당,,,17,1987-09-30,,2018-08-24,8730345,2011-04-21,폐지,0
 통 조립체,KDS (국방/정식),,해군,1095010277173,1095M51913713,정화통조립체, 줄쏘기총,,95.020,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-잠수함담당,,,7,1994-07-15,2022-12-05,,N97001131,2022-09-27,비활성,1
 장전기,KDS (국방/정식),,해군,1095010790141,1095M51913705,"발사기,소총용", M16A1(줄쏘기),,95.020,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-전투함담당,,,8,1994-07-15,2022-10-13,,N97001121,2022-09-27,비활성,1
 장전기,KDS (국방/정식),,해군,1095010790141,1095M51913705,"발사기,소총용", M16A1(줄쏘기),,95.020,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-전투함담당,,,8,1994-07-15,2022-10-13,,N97001121,2022-09-27,활성,1
스크루우,KDS (국방/정식),,육군,,5305M52074588,,전차 공통,,95.020,전체공개,육군-형상통제담당,기반전력사업표준자원관리팀-전차담당,,,7,1979-12-04,1982-08-21,2020-10-14,,2011-07-20,폐지,1
드리프트핀,KDS (국방/정식),,방위사업청,5120007540840,5120M51412649,드리프트 핀,수공구,,49.030.40,전체공개,방위사업청-근무지원물자담당(수공구류담당),미래전력사업표준자원관리팀-근무지원물자담당(수공구류담당),,,1,1980-07-09,2021-01-25,,7540840,2010-05-14,활성,3
"호스, 고무",KDS (국방/정식),,육군,4720371601844,4720M51624239,"호스,성형식",5톤차량 KM54 A2의 흡입 디지관,,95.020,전체공개,육군-형상통제담당,기반전력사업표준자원관리팀-전술차량담당,,,1,1985-07-23,2018-11-27,,971601844,2012-11-01,활성,1
리므버,KDS (국방/정식),,방위사업청,,5120M51034663,,전차(M계열 공통),,95.020,전체공개,방위사업청-근무지원물자담당(수공구류담당),미래전력사업표준자원관리팀-근무지원물자담당(수공구류담당),,,2,1981-04-02,2021-01-25,,0348445,2010-05-24,활성,3
렌치,KDS (국방/정식),,방위사업청,,5120M51036161,"렌치(파이프L형,소켓)",수공구,,95.020,전체공개,방위사업청-근무지원물자담당(수공구류담당),미래전력사업표준자원관리팀-근무지원물자담당(수공구류담당),,,2,1981-04-02,2021-01-25,,0986723,2010-06-24,활성,2
 항공유이송펌프,KDS (국방/정식),,해군,,9999M53717620,항공유  펌프(25-Ⅰ-10), 함정,,95.020,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-전투함담당,, ,3,1999-11-23,,,,2022-06-29,비활성,0
"밸브,버섯형,엔진용",KDS (국방/정식),,육군,2805007346482,2805M51405426,"밸브,버섯형,엔진용","M47,M48A2C",,95.020,전체공개,육군-형상통제담당,기반전력사업표준자원관리팀-전차담당,,,1,1984-08-27,2010-09-17,2018-08-24,7346482,2011-04-21,폐지,2
"렌치, 배수플러그용",KDS (국방/정식),,방위사업청,5120007083302,5120M51685867,"렌치,배수 플러그용","렌치, 배수플러그용",,95.020,전체공개,방위사업청-근무지원물자담당(수공구류담당),미래전력사업표준자원관리팀-근무지원물자담당(수공구류담당),,,1,1986-10-08,2017-03-06,,A70002151,2011-07-28,활성,1
"펌프,축방향 피스톤형(PAP)",KDS (국방/정식),,국방과학연구소,4320375166180,4320M51378240,"펌프,축방향 피스톤형",K2,,95.020,전체공개,,기반전력사업표준자원관리팀-전차담당,,,92,2008-12-26,2023-04-25,,61530201,,활성,4
"렌치, 허브",KDS (국방/정식),,방위사업청,5120003783139,5120M51117564,"렌치,소켓용","자동차의 허브베어링(5톤 표준차량, KM800계열)",,25.140.01,전체공개,방위사업청-근무지원물자담당(수공구류담당),미래전력사업표준자원관리팀-근무지원물자담당(수공구류담당),,,1,1984-08-27,2015-04-01,,3783139,2012-07-23,활성,1
플러그렌치,KDS (국방/정식),,방위사업청,5120005961370,5120M51685698,"렌치,소켓용","볼트, 너트를 분해, 조립할때 ",,25.140.01,전체공개,방위사업청-근무지원물자담당(수공구류담당),미래전력사업표준자원관리팀-근무지원물자담당(수공구류담당),,,1,1985-01-17,2015-04-01,,A70001771,2004-04-30,활성,1
렌치,KDS (국방/정식),,방위사업청,5120004941929,5120M51685699,"렌치,토치 및 조정기용","볼트, 너트를 분해, 조립할때",,95.020,전체공개,방위사업청-근무지원물자담당(수공구류담당),미래전력사업표준자원관리팀-근무지원물자담당(수공구류담당),,,1,1985-08-29,2017-03-06,,A70001781,2011-06-29,활성,1
렌치 스패너,KDS (국방/정식),,방위사업청,5120007230275,5120M51685877,"렌치,스패너용",155밀리 곡사포,,95.020,전체공개,방위사업청-근무지원물자담당(수공구류담당),미래전력사업표준자원관리팀-근무지원물자담당(수공구류담당),,,1,1986-10-08,2017-03-06,,A70002171,2011-07-28,활성,1
"덮개, 차량용",KDS (국방/정식),,방위사업청,2540006537589,2540M51687614,방수포,전차(M계열 공통),,59.080.99,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,2,1995-10-24,2017-02-28,,A70006961,2024-03-04,활성,3
"권낭, 공구 및 부속품용",KDS (국방/정식),,방위사업청,,5140M52074260,"권낭, 공구 및 부속품용",106밀리 무반동총,,95.020,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,2,1979-03-31,2020-11-23,,A70017237,2011-08-16,활성,5
"클램프,파이프용,앵커 및 보강제",KDC (국방/약식),,육군,4730011671905,4730M51722857,"클램프,파이프용,앵커 및 보강제",K532,,95.020,전체공개,육군-형상통제담당,기반전력사업표준자원관리팀-특수차량담당,,,1,2009-09-24,2022-10-13,,AD61220495,,활성,1
덮개조립식차체용,KDS (국방/정식),,방위사업청,,2540M51685787,,트레일러(1/4톤),,59.080.99,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,1,1984-08-27,2021-01-25,,A70001931,2011-12-05,활성,6
"낙하산, 항공기용, 감속용",KDS (국방/정식),,공군,1670007682041,1670M51383070,"낙하산,항공기용,감속용",감속 및 화물용 낙하산,,95.020,전체공개,공군-형상통제담당,미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,12,1979-08-02,2021-11-02,,64B22223,2023-03-30,활성,13
"백,화물용,항공수송용",KDS (국방/정식),,방위사업청,1670005873421,1670M51224224,"백,화물용,항공수송용","백, 화물용, 항공수송용",,59.080.99,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,1,1979-11-02,2022-10-13,,5873421-1,2011-08-02,활성,12
공구키트 TE-33(전공용),KDS (국방/정식),,방위사업청,,5180M52074265,공구키트 TE-33(전공용)_임시,공구키트 TE-33(전공용),,25.140.30,전체공개,방위사업청-근무지원물자담당(수공구류담당),미래전력사업표준자원관리팀-근무지원물자담당(수공구류담당),,,1,1980-05-31,2015-06-02,,5180-1001,2011-12-06,활성,2
"휴대용지대공유도무기,K-PSAM1",KDS (국방/정식),,국방과학연구소,1425375093403,1425M51457005,"유도탄시스템,요격-항공용",휴대용 지대공 유도무기(K-PSAM1),,95.020,전체공개,방위사업청-형상통제담당,미래전력사업표준자원관리팀-유도무기담당,,,6556,2004-10-21,,,81040000,,활성,0
터보과급기 디젤엔진용,KDS (국방/정식),,육군,2950010488870,2950M51050340,"원심과급기,엔진용,비-항공기용","M48A3K, M48A5K",,95.020,전체공개,육군-형상통제담당,기반전력사업표준자원관리팀-전차담당,,,22,1986-08-11,2001-06-29,2018-08-24,11669107-2-1,2009-10-30,폐지,5
튜브조립체,KDS (국방/정식),,육군,2990005688022,2990M51546397,파이프 조립체,M48A2C,,95.020,전체공개,육군-형상통제담당,기반전력사업표준자원관리팀-전차담당,,,2,1977-12-20,1987-07-20,2018-08-24,8734605,2009-10-30,폐지,1
튜브조립체,KDS (국방/정식),,육군,4710001340097,4710M51545105,"튜브 조립체,금속제,갈래형",M48A2C,,77.140.75,전체공개,육군-형상통제담당,기반전력사업표준자원관리팀-전차담당,,,1,1988-02-11,2014-09-29,2018-08-24,8691918,2008-11-06,폐지,2
"펌프조립체,연료",KDS (국방/정식),,육군,4310009397098,4310M51039305,"진공펌프,왕복식","M48A3,M48A5",,95.020,전체공개,육군-형상통제담당,기반전력사업표준자원관리팀-전차담당,,,19,1986-05-12,,2018-08-24,10863692,2011-04-21,폐지,0
"발사대모듈조립체,수직발사체계용,KVLS-1",KDS (국방/정식),,방위사업청,1440375191875,1440M51481550,"발사대모듈 조립체,수직발사체계용,","수직발사체계,유도탄용",,95.020,전체공개,방위사업청-형상통제담당,기반전력사업표준자원관리팀-전투함담당,,,1471,2009-07-29,2019-09-04,,81362009,,활성,3
"수직발사체계,유도탄용,KVLS",KDS (국방/정식),,방위사업청,1440375185903,1440M51481542,"수직발사체계,대잠유도무기용","수직발사체계,유도탄용",,95.02,전체공개,방위사업청-형상통제담당,기반전력사업표준자원관리팀-전투함담당,,,4717,2009-07-29,2019-09-04,,81362001,,활성,3
"덮개, 토우포용",KDS (국방/정식),,방위사업청,,9999M53676359,"덮개, 토우포용",덥개(토우용),,59.080.99,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,5,1985-02-11,2021-01-25,,,2011-08-02,활성,4
공구쌈지M16용,KDS (국방/정식),,방위사업청,8465007819564,8465M51686178,"케이스,정비장비,소화기용",소총(M16),,59.080.99,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,1,1977-05-18,2017-03-08,,A70003241,2024-03-04,활성,5
덮개총포용,KDS (국방/정식),,방위사업청,,1005M52068899,"덮개, 총포용",106미리무반동총,,59.080.99,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,4,1975-09-22,2015-12-30,,,2011-02-23,활성,6
"상자, 소화기 부속품용",KDS (국방/정식),,방위사업청,,1005M52068907,,소총(M16),,59.080.99,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,1,1974-12-27,2021-01-25,,,2011-03-16,활성,4
"케이스, 총열용, 기관총용",KDS (국방/정식),,방위사업청,1005007915420,1005M51687736,"케이스,총열용,기관총용",7.62밀리 기관총(M60),,59.080.99,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,1,1975-11-14,2017-02-28,,A70007361,2024-03-04,활성,5
"충전 및 시험 유닛,질소용",KDS (국방/정식),,육군,4931375231294,4931M51720055,"충전 및 시험 유닛,질소용",전차 공통,,95.020,전체공개,육군-형상통제담당,기반전력사업표준자원관리팀-전차담당,,,2,2012-02-23,,2020-10-14,AD41200001,,폐지,0
구경50미리에레베타(하부)카바,KDS (국방/정식),,방위사업청,,1005M52068889,,구경50 기관총,,59.080.99,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,1,1974-12-27,2017-02-28,,,2011-02-25,활성,5
카바105미리곡사포용,KDS (국방/정식),,방위사업청,,1015M51036012,,105밀리 곡사포,,59.080.99,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,2,1974-12-27,2017-02-28,,0899634-1,2011-05-09,활성,4
106MM 무반동총 총구카바,KDS (국방/정식),,방위사업청,1015006789666,1015M51547911,"덮개,포구용",106밀리 무반동총,,59.080.99,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,1,1974-12-11,2021-01-25,,8766037,2011-05-09,활성,4
추출기,KDS (국방/정식),,육군,4933006195043,4933M51381515,추출기 조립체,화포 공통,,95.020,전체공개,육군-형상통제담당,기반전력사업표준자원관리팀-자주포담당,,,1,1983-03-10,,2020-10-14,6195043,2008-11-06,폐지,0
하네스 조립체,KDS (국방/정식),,육군,2590003195988,2590M51546197,하네스 인터폰,"전차, 전투용, 무한궤도식(M48A2C)",,29.060.01,전체공개,육군-형상통제담당,기반전력사업표준자원관리팀-전차담당,,,1,1987-05-22,,2018-08-24,8730337,2011-04-21,폐지,0
하네스 조립체,KDS (국방/정식),,육군,2590006279540,2590M51546193,배선장치,"전차, 전투용, 무한궤도식(M계열 공통)",,29.060.01,전체공개,육군-형상통제담당,기반전력사업표준자원관리팀-전차담당,,,6,1987-05-22,,2018-08-24,8730330,2011-04-21,폐지,0
"신나, 항공기 코팅용",KDS (국방/정식),,방위사업청,,9999M53792733,"신나, 항공기 코팅용",신나,,95.020,전체공개,,미래전력사업표준자원관리팀-유류담당,,,2,1978-04-13,2023-05-31,,,2023-01-11,활성,3
코팅 우레탄 아리파틱 이소시아네이트 항공,KDS (국방/정식),,방위사업청,,9999M53792734,"폴리우레탄 피복제, 항공기용",도료;피막보호용,,95.020,전체공개,방위사업청-유류담당,미래전력사업표준자원관리팀-유류담당,,,31,1978-06-09,2019-11-08,,,2010-12-17,활성,7
"튜브, 변속기오일출구",KDS (국방/정식),,육군,4710006925204,4710M51409089,"튜브 조립체,금속제","전차, 전투용, 무한궤도식(M47)",,95.020,전체공개,육군-형상통제담당,기반전력사업표준자원관리팀-전차담당,,,2,1981-11-27,,2018-08-24,7403960-1,2005-08-31,폐지,0
"마우스피스, 마이크로폰용(쿠숀)",KDS (국방/정식),,방위사업청,5965006305410,5965M51382555,"마우스피스,마이크로폰용",TA-1/PT,,95.020,전체공개,방위사업청-통신장비/통신전자장비담당1(유선장비담당),미래전력사업표준자원관리팀-통신장비/통신전자장비담당1(유선장비담당),,,1,1980-05-22,2013-05-06,,63054101,2009-03-27,비활성,1
"케이블,무선주파수용",KDS (국방/정식),,방위사업청,,6145M52077922,"케이블,무선주파수용_임시","전기전자장비, 고주파회로용 공통",,33.020,전체공개,,미래전력사업표준자원관리팀-통신장비/통신전자장비담당2(무선장비담당),,,2,1978-07-21,2023-04-18,,,2006-09-07,활성,3
"천막수리용, 액상 접합제",KDS (국방/정식),,국방과학연구소,,9999M53792736,천막수리용 액상 접합제,"접착제, 천막수리용",,95.020,전체공개,방위사업청-유류담당,미래전력사업표준자원관리팀-유류담당,,KDS STD-0163,2,1974-11-13,2017-12-04,2023-08-01,,,전환,1
"백,병기 예비 부품용",KDS (국방/정식),,방위사업청,8105005559696,8105M51221538,"백,병기 예비 부품용",구경50중기관총;M2,,95.020,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,1,1977-05-16,2021-01-25,,5559696,2011-08-26,활성,4
앵글밸브,KDS (국방/정식),,해군,,4820M52074068,앵글밸브_임시,함정 공통,,95.020,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-전투함담당,,,2,1979-08-01,,2020-10-14,,2009-06-29,폐지,0
플러그콕크,KDS (국방/정식),,해군,,4820M51903905,COCK PLUG,함정 공통,,95.020,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-전투함담당,,,1,1979-09-05,,2020-10-14,N2723358,2009-06-29,폐지,0
방수포,KDS (국방/정식),,방위사업청,,8340M51686682,방수포,20미리발칸포,,59.080.99,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,2,1989-05-25,2021-01-25,,70004501,2011-08-26,활성,5
테스터리드,KDS (국방/정식),,방위사업청,6625006432702,6625M52078383,"리드선,시험기용",기판조립체(AN/PSM-4),,29.060.01,전체공개,방위사업청-전자전/레이더장비담당(전자장비담당),미래전력사업표준자원관리팀-전자전/레이더장비담당(전자장비담당),,,1,1978-12-07,2015-08-18,,A50096073,2012-12-12,활성,2
 케이스,KDS (국방/정식),,해군,6625006354936,6625M51907498,"케이스,전기-전자 시험 및 측정장비",기판조립체(AN/PSM-4A),,95.020,전체공개,해군-형상통제담당,미래전력사업표준자원관리팀-전자전/레이더장비담당(전자장비담당),,,1,1984-09-12,,2020-12-29,N6354936,2005-06-27,폐지,0
방충두건,KDS (국방/정식),,방위사업청,8415375009613,8415M51686235,방충두건,모자류,,61.040,전체공개,방위사업청-피복/장구류담당2(복제담당),미래전력사업표준자원관리팀-피복/장구류담당2(복제담당),,,1,1986-04-18,2015-12-22,2016-12-07,A70003371,2009-08-13,폐지,2
"퓨즈, 통형",KDS (국방/정식),,방위사업청,,9999M53792705,"퓨즈, 통형",전기 및 전자통신기기 차단용,,95.020,전체공개,방위사업청-통신장비/통신전자장비담당1(유선장비담당),미래전력사업표준자원관리팀-통신장비/통신전자장비담당1(유선장비담당),,,39,1997-08-25,2013-05-06,,,2007-11-19,활성,2
베레모,KDS (국방/정식),,방위사업청,8405375096527,8405M51688301,베레모,베레모,,61,전체공개,방위사업청-피복/장구류담당2(복제담당),미래전력사업표준자원관리팀-피복/장구류담당2(복제담당),,,3,1987-04-10,2019-12-30,,A70008461,2012-12-17,활성,12
정모,KDS (국방/정식),,방위사업청,,9999M53710661,정모,모자류,,61.040,전체공개,방위사업청-피복/장구류담당2(복제담당),미래전력사업표준자원관리팀-피복/장구류담당2(복제담당),,,2,1989-10-13,2021-01-25,,,2012-12-20,활성,15
비닐커버  정모용,KDS (국방/정식),,방위사업청,,9999M53784851,"비닐커버, 정모용","군에서 사용하는 비닐커버,정모용",,61.040,전체공개,방위사업청-피복/장구류담당2(복제담당),미래전력사업표준자원관리팀-피복/장구류담당2(복제담당),,,2,1991-05-30,2020-11-23,,,2024-03-04,활성,3
정모 B형  수병용,KDS (국방/정식),,방위사업청,,8405M51686914,,모자류,,33.180.10,전체공개,방위사업청-피복/장구류담당2(복제담당),미래전력사업표준자원관리팀-피복/장구류담당2(복제담당),,,1,1991-05-30,2017-09-11,,A70005121,2011-08-16,활성,6
모자,KDS (국방/정식),,방위사업청,,8405M51687587,전투모,모자류,,95.020,전체공개,방위사업청-피복/장구류담당2(복제담당),미래전력사업표준자원관리팀-피복/장구류담당2(복제담당),,,234,1996-03-20,2021-01-25,,A70006851,2012-12-12,활성,14
특전복,KDS (국방/정식),,방위사업청,,9999M53710567,특전복,특전복,,95.020,전체공개,방위사업청-피복/장구류담당1(섬유담당),미래전력사업표준자원관리팀-피복/장구류담당1(섬유담당),,,6,2002-10-16,2020-06-16,,,2012-12-12,활성,13
