표준 번호,표준 제정 번호,표준 분류,표준 명,표준 상태,제정 년도,제정기관 표준이력,관련 사이트,표준 개요,표준 요약
MND-ATIS 0900105.2001,"Synchronous Optical Network (SONET) - Basic Deion including Multiplex Structure, Rates, and Formats,",DITA 2023 v3,SONET,필수(Mandated),ANSI,webstore.ansi.org/RecordDetail.aspx?sku=ATIS-0900105.2008,본 표준은 동기식 광통신망 (Synchronous Optical Network Transmission : SONET)의 기본적인 스펙에 관한 권고임.,생략,생략
MND-BPJ 2K 01.10,"BIIF Profile for JPEG 2000, Version 01.10, 15 April 2009",DITA 2023 v3,JPEG,필수(Mandated),GWG(,www.gwg.nga.mil/ntb/baseline/docs/J2K/J2KTestPlan.pdf,본 표준은 ISO / IEC 15444-1에 정의된 프로파일 정의에 대한 규칙에 따라 생성 및 해석 행위에 대한 제한을 설정 NITF(National Imagery Transmission Format)/NSIF (Nato Secondary Imagery Formot) 및 LVSD (Large Volume Streaming Data) 이내에 jpeg 및 2000의 응용 영상 유통 포맷임.,생략,생략
MND-CCEB ACP 120,"Common Security Protocol (CSP) ACP 120, June 1998",DITA 2023 v3,전자우편 보안,필수(Mandated),CCEB,web.archive.org/web/20130215093246/jcs.dtic.mil/j6/cceb/acps/acp120/ACP120.pdf,본 표준은 X.509 버전 3의 인증서의 정리 속성(clearance attribute) 또는 보호 라벨을 가진 subject Directory Attribute 확장을 활용하기 위한 표준이다.,생략,생략
MND-CCSDS 714.0-B-2,"Space Communications Protocol Specification (SCPS)Transport Protocol (SCPS-TP), Recommended Standard",DITA 2023 v3,SCPS,필수(Mandated),CCSD,public.ccsds.org/publications/archive/714x0b2.pdf,본 표준은 위성통신을 이용하여 TCP 패킷을 전달할 경우 위성전파지연으로 인하여 할당된 대역폭만큼 TCP 패킷을 전달하기 못하는데 이를 극복하기 위한 TCP의 파라미터 설정에 대한 표준임,생략,생략
MND-CIM 2.2,Common Information Model CIM Specification Version 2.2,DITA 2023 v3,CIM,필수(Mandated),DMTF,www.dmtf.org/standards/cim,"일반 정보 모델(Common Information Model)은 시스템, 네트워크, 응용프로그램, 서비스 등의 관리 정보에 대한 공통화된 정의를 내리며, 서로 다른 개발업체의 시스템 간에 관리 정보가 공유될 수 있는 기반을 제공함.",생략,생략
MND-CIM HTTP,"Specification for CIM Operations over HTTP Version 1.0 Distributed Management Task Force, Inc., 11 A",DITA 2023 v3,CIM,필수(Mandated),DMTF,www.dmtf.org/standards/cim,상기 표준은 CIM 메시지에 대한 Hypertext Transfer Protocol(HTTP)로의 매핑을 정의하며 CIM 구현 내용이 표준화된 형태로 수행되도록 함.,생략,생략
MND-CIM XML,"Specification for the Representation of CIM in XML Version 2.0 Distributed Management Task Force, In",DITA 2023 v3,CIM,필수(Mandated),DMTF,www.dmtf.org/standards/cim,"본 표준은 CIM 선언(클래스, 인스턴스 및 권한) 과 CIM 메시지를 표현하기 위한 DTD(Document Type Definition)로 쓰인 XML(eXtensible Markup Language) 문법을 정의함.",생략,생략
MND-DOD AIMS 97-900,"Performance/Design And Qualification Requirements Mode 4 Input/Output Data, 18 March 1998",DITA 2023 v3,AIMS,필수(Mandated),DoD(,quicksearch.dla.mil,본 표준은 통합 또는 applique IFF(피아식별기) 능력을 요구하는 무기 체계 플랫폼을 위한 필수 표준이다.,생략,생략
MND-DRAFT-0002,TICN 기반 무기체계 유통정보의 우선순위 및 QoS 설정 표준,DITA 2023 v3,Ethernet,초안(Draft),국방부,,"본 표준은 TICN 기반에서 유통되는 정보의 통제를 위해 QoS 적용, 무기체계별 정보유통 항목 선정, 정보유통량 분석, 유통정보에 대한 정량적인 우선순위 설정 등을 설명하며 이들 절차에 대한 실질적인 적용 지침을 제공한다.본 표준은 중요정보의 정보전송 우선순위 판단이 가능토록 정량적인 판단 기준을 제공하며, TICN에서 QoS 적용이 가능토록 무기체계 개발간 정보 항목별 우선순위 적용 하 개발을 위한 근거로 활용한다.",생략,생략
MND-DRAFT-0003,한국형 합동전술데이터링크(Link-K),DITA 2023 v3,LINK-K,초안(Draft),국방부,,"한국군 전장환경 및 무기체계에 적합하도록 감시체계, 지휘통제 및 타격체계 간 전술정보를 실시간으로 공유할 수 있도록 표준화된 메시지 규격 및 송수신 규칙을 제공 하기 위한 표준으로 한국형 합동전술데이터링크체계(JTDLS) 완성형 사업 간 기존 DITA에 등록된 MND-STD-0018A 대비 메시지 확장 및 MIL-STD-6016F 기반의 메시지를 최신화한 기술임.",생략,생략
MND-DRAFT-0004,Link-K 호스트 인터페이스 메시지,DITA 2023 v3,LINK-K,초안(Draft),국방부,,IP 통신을 이용하여 JIDLS 체계의 Limk-K 전술자료처리기와 이를 통신체계로 운용하는 무기체계(호스트)간 전술정보 교환에 필요한 인터페이스 메시지로 한국형 합동전술데이터링크체계(JTDLS) 완성형 사업 간 기존 DITA에 등록된 MND-STD-0029A 대비 메시지 확장 및 Link-K 기반의 메시지를 최신화한 기술임.,생략,생략
MND-DRAFT-0005,한국군 전술데이터링크 간 데이터 중계,DITA 2023 v3,LINK-K,초안(Draft),국방부,,Link-K와 KVMF를 사용하는 체계가 이종 전술데이터링크와 데이터 교환을 위한 전송 형식에 대한 규약을 제공,생략,생략
MND-DoD AIMS 03-1000,Performance/Design and Qualification Requirements Technical Standard For The ATCRBS/IFF/MARK XIIA El,DITA 2023 v3,AIMS,필수(Mandated),DoD(,quicksearch.dla.mil,본 표준은 통합 또는 applique IFF(피아식별기) 능력을 요구하는 무기 체계 플랫폼을 위한 필수 표준이다.,생략,생략
MND-ECMA-262,ECMA Language Specification,DITA 2023 v3,ECMA,필수(Mandated),ECMA,www.ecma-international.org/publications/standards/Ecma-262.htm,ECMA international의 ECMA-262 기술 규격에 정의된 표준화된 스크립트 프로그래밍 언어로 국제표준화기구인 ISO/IEC에서 1998년 ISO/IEC 16262로 표준화임.,생략,생략
MND-ETSI EN 301 790 V1.5.1,Digital Video Broadcasting (DVB):Interaction channel for satellite distribution systems(DVB-RCS),DITA 2023 v3,위성통신,필수(Mandated),ETSI,www.etsi.org/deliver/etsi_en/301700_301799/301790/01.05.01_60/en_301790v010501p.pdf,본 표준은 DVB-RCS(Digital Video Broadcast-Return Channel via Satellite)시스템의 리턴 채널에 대한 물리적 표준과 다중접속방식에 대한 표준임,생략,생략
MND-ETSI EN 302 307 V1.2.1,"Digital Video Broadcasting (DVB) Second generation framing structure, channel coding and modulation ",DITA 2023 v3,위성통신,필수(Mandated),ETSI,www.etsi.org/deliver/etsi_en/302300_302399/302307/01.02.01_60/en_302307v010201p.pdf,본 표준은 DVB-S2(Digital Video Broadcast-Second generation framing structure~)시스템의 포워딩 채널에 대한 물리적 표준과 프레임 구조에 대한 표준임,생략,생략
MND-EUROCONTROL-SPEC-0149,EUROCONTROL Specification for Surveillance Data Exchange  Part 1 All Purpose Structured EUROCONTROL ,DITA 2023 v3,ASTERIX,필수(Mandated),EURO,,"본 표준은 방공 C2A 체계와 국지방공레이더체계가 상호 교화하는 정보에 대해서 규정하며, 레이더와 레이더에 연동되는 대분분의 체계에 적용됨.",생략,생략
MND-EUROCONTROL-SPEC-0149-15,EUROCONTROL Specification for Surveillance Data Exchange ASTERIX Part 15 Category 065 SDPS Service S,DITA 2023 v3,ASTERIX,필수(Mandated),EURO,,"방공C2A와 차기국지방공레이더가 상호 정보 교환 시 적용한 표준이며, 레이더와 레이더에 연동되는 대부분 체계에 적용되는 표준으로 레이더 외부 체계에서 레이더에 상태정보를 전송하기 위한 표준임.",생략,생략
MND-EUROCONTROL-SPEC-0149-21,EUROCONTROL Specification for Surveillance Data Exchange ASTERIX Part 21 Category 007 Transmission o,DITA 2023 v3,ASTERIX,필수(Mandated),EURO,,"저고도레이더의 피아식별장비가 중앙방공통제소(MCRC)와 레이더 정보교환 시 적용한 표준이며, 보조 레이더 센서에 대한 Directed Interrogations의 원격 명령을 위한 구현방법을 제공하고 있으며, 네트워크를 통해 명령을 받는 항공기의 보조 레이더와 트랜스폰더 간의 이벤트 기반 통신을 지원하기 위해 사용된다.",생략,생략
MND-EUROCONTROL-SPEC-0149-21A,EUROCONTROL Specification for Surveillance Data Exchange ASTERIX Part 21 Category 007 Directed Inter,DITA 2023 v3,ASTERIX,필수(Mandated),EURO,,"저고도레이더의 피아식별장비가 중앙방공통제소(MCRC)와 레이더 정보교환 시 적용한 표준이며, 보조 레이더 센서에 대한 Directed Interrogations의 원격 명령을 위한 구현방법을 제공하고 있으며, 네트워크를 통해 명령을 받는 항공기의 보조 레이더와 트랜스폰더 간의 이벤트 기반 통신을 지원하기 위해 사용된다. Appendix A는 Mode-5를 지원하기 위해 예약된 확장 필드를 인코딩하는 방법을 제공함.",생략,생략
MND-EUROCONTROL-SPEC-0149-2b,EUROCONTROL Specification for Surveillance Data Exchange ASTERIX Part 2b Category 34 Mono Radar Serv,DITA 2023 v3,ASTERIX,필수(Mandated),EURO,,"방공C2A와 차기국지방공레이더가 상호 교환하는 정보에 대해서 규정하며, 레이더와 레이더에 연동되는 대부분의 체계에 적용되는 표준으로 레이더회전에 대한 정보인 North marker, Jamming strobe 및 연동개시/종료와 같은 레이더 서비스 메시지를 정의한 표준임.",생략,생략
MND-EUROCONTROL-SPEC-0149-4,EUROCONTROL Specification for Surveillance Data Exchange ASTERIX Part 4 Category 048 Monoradar Targe,DITA 2023 v3,ASTERIX,필수(Mandated),EURO,,"방공C2A와 차기국지방공레이더가 상호 정보 교환 시 적용한 표준이며, 레이더와 레이더에 연동되는 대부분의 체계에 적용되는 표준으로 레이더 항적정보 (표적의 위치, 속도, Mode Code) 등을 전송하기 위한 표준임.",생략,생략
MND-EUROCONTROL-SPEC-0149-4A,EUROCONTROL Specification for Surveillance Data Exchange ASTERIX Part 4 Category 048 Monoradar Targe,DITA 2023 v3,ASTERIX,필수(Mandated),EURO,,"저고도레이더의 피아식별장비가 중앙방공통제소(MCRC)와 레이더 정보교환 시 적용한 표준이며, 레이더 스테이션에서 하나 이상의 SDP(Surveillance Data Processing)시스템으로 모노 레이더 표적 보고서를 전송하기 위한 메시지 구조에서 Mode-5를 지원하기 위해 예약된 확장 필드를 인코딩하는 방법을 제공한다.",생략,생략
MND-FIPS 197,"AES, Advanced Encryption Standard",DITA 2023 v3,AES,필수(Mandated),NIST,csrc.nist.gov/publications/fips/fips197/fips-197.pdf,본 표준은 128비트 블록 암호 알고리즘인 ARIA의 2부 내용으로 운용모드를 규정한다.,생략,생략
MND-FIPS PUB 140-2,"Security Requirements for Cryptographic Modules, 25 May 2001",DITA 2023 v3,암호모듈,필수(Mandated),NIST,csrc.nist.gov/publications/fips/fips140-2/fips1402.pdf,본 표준은 FIPS 140-1에 추가적으로 암호화 서브시스템이 정확히 도입되고 충분한 수준의 데이터 저장보호기능을 제공하기 위한 보안 요구사항을 정의한다.,생략,생략
MND-FIPS PUB 140-3,"Security Requirements for Cryptographic Modules, 22 March 2019",DITA 2023 v3,"생체인식,암호모듈",미래(Emerging),NIST,,본 표준은 FIPS 140-2를 개정한 표준으로 암호모듈 개발 시 적용되어야 하는 보안 요구사항을 정의한다.,생략,생략
MND-FIPS PUB 180-4,Secure Hash Standard (SHS),DITA 2023 v3,SHS,필수(Mandated),NIST,csrc.nist.gov/publications/fips/fips180-4/fips-180-4.pdf,"본 표준은 Secure Hash 알고리즘인 SHA-1, SHA-224, SHA-256, SHA-384, SHA-512 알고리즘에 대해 규정한 표준인 FIPS PUB 180-3 버전을 개정한 표준으로, 통신 주체 간에 메시지 보호 및 무결성 제공을 위해 사용한다.",생략,생략
MND-FIPS PUB 186-3,"Digital Signature Standard (DSS), June 2009",DITA 2023 v3,전자서명,사양(Retired),NIST,csrc.nist.gov/publications/fips/fips186-3/fips_186-3.pdf,본 표준은 FIPS PUB 186-1에 디지털 서명을 생성하는데 사용되는데 ECDSA 알고리즘을 추가하여 설명을 정의한 표준이다.,생략,생략
MND-FIPS PUB 186-4,"Digital Signature Standard (DSS), July 2013",DITA 2023 v3,전자서명,필수(Mandated),NIST,nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.186-4.pdf,"본 표준은 디지털 서명을 생성하는데 사용되는 표준으로, ECDSA(Elliptic Curve DSA) 알고리즘을 추가하여 설명을 정의한 표준이다.",생략,생략
MND-FIPS PUB 198-1,"The Keyed-Hash Message Authentication Code(HMAC), July 1, 2008.",DITA 2023 v3,HMAC,필수(Mandated),NIST,csrc.nist.gov/publications/fips/fips198-1/FIPS-198-1_final.pdf,"본 표준은 메시지 인증 및 무결성이 요구되는 응용 제품을 위한 해시 알고리즘을 규정하며, HMAC 운영 절차 및 단계별 변환 과정을 정의한다.",생략,생략
MND-FIPS PUB 202,"SHA-3 Standard: Permutation-Based Hash and Extendable-Output Functions, 2015-08",DITA 2023 v3,SHS,필수(Mandated),NIST,http://dx.doi.org/10.6028/NIST.FIPS.202,"Secure Hash 알고리즘인 SHA-2 알고리즘을 대체하기 위하여 새롭게 개발된 SHA-3 알고리즘에 대해 규정한 표준으로, 통신 주체 간에 메시지 보호 및 무결성 제공하는 메시지 함수를 규정",생략,생략
MND-GR-253,"Synchronous Optical Network (SONET) Transport Systems: Common Generic Criteria, Issue No 5, Telcordi",DITA 2023 v3,SONET,필수(Mandated),ANSI,webstore.ansi.org/default.aspx,미국내 공업 표준안을 마련하는 기구인 3456BA99-1018-BADD-DF07-567EA5B51ACB산하 ECSA(Exchange Carriers Standards Association)에 의해 마련된 광통신 전송 표준안이다. 거의 전세계 모든 장거리 전화망의 광케이블 구간에 적용되고 있는 물리계층 표준.,생략,생략
MND-Geopolitical Entities and Codes(GEC),Codes for geopolitical entities used in the GNS are based on the U.S. Federal Information Processing,DITA 2023 v3,GEC,필수(Mandated),NGIA,www.fgdc.gov/organization/coordination-group/meeting-minutes/2012/july/fgdc-cg-20120710-us-country-codes-standards.pdf,"본 표준은 각 개체를 구성하는 주요 행정 구분과 함께 기본적인 지정학적 개체 목록을 제공하며, 본 표준에는 미국 연방 정보 처리 표준 발행물(FIPS PUB) 10-4 &quotCountries, Dependencies, Areas of Special Sovereignty, and Their Principal Administrative Divisions&quot 에 기반을 두고 있음.",생략,생략
MND-HDF5 Release 1.8.11,"Hierarchical Data Format (HDF) Version 5, Release 1.8.11",DITA 2023 v3,HDF,필수(Mandated),HDF(,www.hdfgroup.org/hdf5,"HDF5는 데이터 모델, 도서관 등의 대용량 데이터를 저장 하고 관리하기 위한 파일 형식이다.",생략,생략
MND-ICAO Annex 10: Vol. I,International Civil Aviation Organization (ICAO) Annex 10 Aeronautical Telecommunications: Volume I ,DITA 2023 v3,항공통신,필수(Mandated),ICAO,www.icao.int/airnavigation/Lists/T_Documents/DispForm.aspx?ID=2,"이 문서는 국제민간항공운항시스템에 필수시스템인 항공통신, 항법 및 감시 기능을 정의한 기술문서임",생략,생략
MND-ICAO Annex 10: Vol. II,International Civil Aviation Organization (ICAO) Annex 10 Aeronautical Telecommunications: Volume II,DITA 2023 v3,항공통신,필수(Mandated),ICAO,www.icao.int/airnavigation/Lists/T_Documents/DispForm.aspx?ID=3,"제 10 부속서는 항공 통신에 관한 것으로, 국제 항공에서 비행안전을 위한 무선항행 원조 시설, 통신 방식, 항공용 무선기기 및 무선 주파수 등에 대해 기술함",생략,생략
MND-IEEE 1516-2000,"IEEE Standard for Modeling and Simulation (M&S) High Level Architecture (HLA) - Framework and Rules,",DITA 2023 v3,HLA,필수(Mandated),IEEE,standards.ieee.org/findstds/standard/1516-2000.html,"이 표준은 High Level Architecture의 개괄적인 내용을 제공하고 HLA 문서와 연관된 자료들을 정의하며 Live 시스템과의 인터페이스, 시뮬레이션, 지원 유틸리티들과 같은 집합의 책임과 집합간의 상호작용 관점에서 HLA의 원칙을 정의함.",생략,생략
MND-IEEE 1516.1-2000,IEEE Standard for Modeling and Simulation (M&S) High Level Architecture (HLA) - Federate Interface S,DITA 2023 v3,HLA,필수(Mandated),IEEE,standards.ieee.org/findstds/standard/1516.1-2010.html,이 표준은 HLA에서 Federation과 연동체계(RTI)간의 연결 프로그램 작성에 필요한 소프트웨어 라이브러리의 집합으로서 분산된 시뮬레이션 도메인 내에서 상호간 통신을 지원하는 소프트웨어 서비스간의 인터페이스를 정의하는 문서이다.,생략,생략
MND-IEEE 1516.2-2000,IEEE Standard for Modeling and Simulation (M&S) High Level Architecture (HLA) - Object Model Templat,DITA 2023 v3,HLA,필수(Mandated),IEEE,standards.ieee.org/findstds/standard/1516.2-2000.html,"이 표준은 HLA object 모델내에서 정보 (objects, attributes, interactions, parameters)를 저장하기 위한 양식(Format)과 구문(Syntax)을 정의하는 문서임. 시뮬레이션들은 실 세계를 추상화하였으며 여러 M&S에서 필요한 기능들을 찾을 수 있음. 이러한 기능들은 HLA 프레임워크에서 M&S 구현시 기술들이 활용되고 있음. 이 표준은 시뮬레이션들이 HLA 통합을 위하여 공통 아키텍쳐를 제공함.",생략,생략
MND-IEEE 1516.3-2003,IEEE Recommended Practice for High Level Architecture (HLA) Federation Development and Execution Pro,DITA 2023 v3,HLA,사양(Retired),IEEE,standards.ieee.org/findstds/standard/1516.3-2003.html,이 표준은 사용자들이 High Level Architecture를 개발하고 Federation을 실행하는데 필요한 프로세스와 절차를 정의한다.,생략,생략
MND-IEEE 802.11-2020,IEEE Standard for Information Technology--Telecommunications and Information Exchange between System,DITA 2023 v3,WLAN,필수(Mandated),IEEE,,무선랜(WLAN)기술에 대한 MAC /PHY 계층에서의 전송 속도 및 주파수 효율성 측면에 대한 규격을 정의하는 표준,생략,생략
MND-IEEE 802.11ac-2013,IEEE Standard for Information technology-- Telecommunications and information exchange between syste,DITA 2023 v3,WLAN,사양(Retired),IEEE,standards.ieee.org/findstds/standard/802.11ac-2013.html,"본 표준은 5GHz 주파수에서 높은 대역폭(80MHz~160MHz)을 지원하고, 2.4GHz에선 802.11n과의 호환성을 위해 40MHz까지 대역폭을 지원함",생략,생략
MND-IEEE 802.11n-2009,IEEE Standard for Local and Metropolitan Area Networks -- Specific Requirements Part 11: Wireless LA,DITA 2023 v3,WLAN,사양(Retired),IEEE,standards.ieee.org/findstds/standard/802.11n-2009.html,본 표준은 2.4GHz 대역과 5Ghz 대역을 사용하며 최고 300Mbps까지의 멀티미디어데이터의 고속 전송이 가능한 WLAN표준이다.,생략,생략
MND-IEEE 802.15.1-2005,Wireless medium access control (MAC) and physical layer (PHY) specifications for wireless personal a,DITA 2023 v3,Bluetooth,필수(Mandated),,standards.ieee.org/findstds/standard/802.15.1-2005.html,"본 표준은 블루투스(Bluetooth) 무선기술의 the lower transport layers(MAC-L2CAP/LMP/Baseband, PHY-Radio)을 정의한 표준임",생략,생략
MND-IEEE 802.15.3b-2005,Wireless Medium Access Control (MAC) and Physical Layer (PHY) Specifications for High-Rate Wireless ,DITA 2023 v3,WPAN,필수(Mandated),IEEE,standards.ieee.org/findstds/standard/802.15.3b-2005.html,본 표준은 WPAN에서 2.4 GHz 대역전송을 위한 멀티미디어 전송장치의 상호연동을 위한 규격을 정의함.,생략,생략
MND-IEEE 802.15.3c-2009,Wireless Medium Access Control (MAC) and Physical Layer (PHY) Specifications for High Rate Wireless ,DITA 2023 v3,WPAN,필수(Mandated),IEEE,standards.ieee.org/findstds/standard/802.15.3c-2009.html,본 표준은 802.15.3기반의 고속 WPAN 망에서 밀리미터파 대역을 사용하기 위한 물리계층 규격을 정의한다.,생략,생략
MND-IEEE 802.15.5-2009,IEEE Standard for Recommended Practice for Information technology -- Local and metropolitan area net,DITA 2023 v3,WPAN,필수(Mandated),IEEE,standards.ieee.org/findstds/standard/802.15.5-2009.html,"본 표준은 기존 IEEE 표준인 저속 WPAN 망(802.15.4)과 고속 WPAN망(802.15.3, 802.15.3b)에서 메시 서비스를 제공하기 위한 규격을 정의함.",생략,생략
MND-IEEE 802.16e-2006,IEEE Standard for Local and Metropolitan Area Networks Part 16: Air Interface for Fixed and Mobile B,DITA 2023 v3,mobile WiMAX,필수(Mandated),IEEE,standards.ieee.org/findstds/standard/802.16e-2005.html,"와이브로(WiBro Wireless Broadband, 해외에선 모바일 와이맥스로 알려짐)는 대한민국 삼성전자와 한국전자통신연구원이 개발한 무선 광대역 인터넷 기술이다. 2007년 10월 18일, 한국이 세계 최초로 개발한 와이브로 기술이 국제전기통신연합 전파총회에서 &#39IMT-2000&#39으로 통칭되는 3세대 이동통신(3G)의 6번째 국제표준으로 채택됐다.",생략,생략
MND-IEEE 802.1AE,802.AE-2006 - IEEE Standard for Local and Metropolitan Area Networks: Media Access Control (MAC) Sec,DITA 2023 v3,MACsec,필수(Mandated),IEEE,standards.ieee.org/getieee802/download/802.1AE-2006.pdf,본 표준은 미디어 접속 프로토콜의 연결 지향성 데이터 접속 및 통합을 정의한 IEEE MAC 보안 표준이다.,생략,생략
MND-IEEE 802.1AE-2018,"IEEE Standard for Local and metropolitan area networksMedia Access Control (MAC) Security, 27 Septem",DITA 2023 v3,MSec,미래(Emerging),IEEE,ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8585421,본 표준은 미디어 접속 프로토콜의 연결 지향성 데이터 접속 및 통합을 정의한 IEEE MAC 보안 표준의 2018년 개정본이다.,생략,생략
MND-IEEE 802.1D-2004,"IEEE Standard for Local and Metropolitan Area Networks Media Access Control (MAC) Bridges, 2004",DITA 2023 v3,MAC,필수(Mandated),IEEE,standards.ieee.org/findstds/standard/802.1D-2004.html,본 표준은 802.1D-1998을 개정한 표준으로 1998년 개정판의 오류를 수정하고 802.1w-2001 RSTP를 포함함. 본 표준은 IEEE802 LAN에 의해 상호 연결되어 IEEE802 MAC 서비스를 제공하는 데이터 처리 장치들 간의 호환성을 유지하기 위한 MAC 브리지의 동작을 규정함.,생략,생략
MND-IEEE 802.1Q-2005,"IEEE Standards For Local and Metropolitan Area Networks - Virtual Bridged Local Area Networks, May 2",DITA 2023 v3,VLAN,필수(Mandated),IEEE,standards.ieee.org/findstds/standard/802.1Q-2005.html,"본 표준은 802.1Q-1998을 개정한 표준으로 802.1u-2001 Maintenance, 802.1v-2001 VLAN Classification, 802.1s-2002 MSTP를 포함함. 본 표준은 802.1D MAC 브리지에 가상 Bridged LAN 구현에 필요한 부가적인 메카니즘을 정의함.",생략,생략
MND-IEEE 802.1Q-2018,"IEEE Standard for Local and Metropolitan Area Network--Bridges and Bridged Networks, July 2018",DITA 2023 v3,VLAN,미래(Emerging),IEEE,,802.1D MAC 브리지에 가상 Bridged LAN 구현에 필요한 부가적인 메카니즘을 정의하는 표준,생략,생략
MND-IEEE 802.1X-2010,"IEEE Standard for Local and Metropolitan Area Networks - Port Based Network Access Control, 2010",DITA 2023 v3,LAN 보안,필수(Mandated),IEEE,standards.ieee.org/getieee802/download/802.1X-2010.pdf,"본 표준은 포트 기반 네트워크를 액세스 제어를 위한 802.1x 표준의 2010년 개정판으로서, 중간자 공격(Man-in-the-middle-attack) 취약점에 대한 MAC Security 추가한 표준이다.",생략,생략
MND-IEEE 802.1X-2020,"IEEE Standard for Local and Metropolitan Area Networks--Port-Based Network Access Control, 2020",DITA 2023 v3,LAN 보안,미래(Emerging),IEEE,,"본 표준은 포트 기반 네트워크를 액세스 제어를 위한 802.1x 표준의 2020년 개정판으로서, YANG(Yet Another Next Generation) 데이터 모델 적용방법을 추가한 표준이다.",생략,생략
